Zeitstempel;Maschine_ID;Temperatur;Druck;Gewicht;Laenge;Breite;Hoehe;Energieverbrauch;Status;Fehlercode
11.11.2024-06:04:00;F_VG002;85.4;2.53;162.1;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:04:14;F_VG002;84.9;2.5;162.1;33.9;50.1;24.9;5.0;Aktiv;
11.11.2024-06:04:28;F_VG002;84.9;2.46;162.0;33.9;50.0;25.2;5.0;Aktiv;
11.11.2024-06:04:42;F_VG002;84.8;2.49;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:04:56;F_VG002;84.8;2.44;162.1;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:05:10;F_VG002;84.7;2.51;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:05:24;F_VG002;85.4;2.4;162.0;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:05:38;F_VG002;85.5;2.49;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:05:52;F_VG002;84.8;2.57;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:06:06;F_VG002;85.2;2.45;162.0;33.8;50.0;25.1;5.0;Aktiv;
11.11.2024-06:06:20;F_VG002;85.3;2.53;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:06:34;F_VG002;84.6;2.47;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:06:48;F_VG002;85.1;2.45;162.0;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:07:02;F_VG002;85.1;2.53;162.0;34.1;50.0;25.1;5.0;Aktiv;
11.11.2024-06:07:16;F_VG002;85.6;2.49;161.8;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:07:30;F_VG002;85.1;2.41;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:07:44;F_VG002;85.1;2.52;162.1;34.1;50.1;24.9;5.0;Aktiv;
11.11.2024-06:07:58;F_VG002;85.1;2.54;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:08:12;F_VG002;86.0;2.51;162.1;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:08:26;F_VG002;85.0;2.47;161.9;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:08:40;F_VG002;85.0;2.53;161.9;34.1;50.0;25.0;5.0;Aktiv;
11.11.2024-06:08:54;F_VG002;85.2;2.57;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:09:08;F_VG002;84.5;2.48;162.1;33.9;50.0;24.9;5.0;Aktiv;
11.11.2024-06:09:22;F_VG002;84.8;2.51;162.0;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:09:36;F_VG002;85.4;2.48;161.8;34.0;50.0;24.8;5.0;Aktiv;
11.11.2024-06:09:50;F_VG002;85.0;2.57;161.9;34.0;50.0;25.0;5.0;Aktiv;
11.11.2024-06:10:04;F_VG002;85.0;2.51;162.1;34.0;50.1;25.0;5.0;Aktiv;
11.11.2024-06:10:18;F_VG002;85.0;2.46;161.9;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:10:32;F_VG002;84.7;2.55;162.0;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:10:46;F_VG002;85.2;2.53;162.1;34.0;50.0;24.8;5.0;Aktiv;
11.11.2024-06:11:00;F_VG002;84.6;2.55;162.0;34.0;50.0;25.1;5.0;Aktiv;
11.11.2024-06:11:14;F_VG002;85.2;2.49;162.1;34.1;50.0;24.9;5.0;Aktiv;
11.11.2024-06:11:28;F_VG002;85.0;2.46;161.9;33.9;49.9;24.9;5.0;Aktiv;
11.11.2024-06:11:42;F_VG002;84.8;2.44;162.0;34.0;49.9;25.0;5.0;Aktiv;
11.11.2024-06:11:56;F_VG002;84.9;2.49;161.9;34.0;50.0;24.9;5.0;Aktiv;
11.11.2024-06:12:10;F_VG002;85.2;2.54;162.1;33.9;50.0;25.1;5.0;Aktiv;
11.11.2024-06:12:24;F_VG002;85.3;2.55;161.9;33.9;50.0;25.0;5.0;Aktiv;
11.11.2024-06:12:38;F_VG002;84.9;2.47;162.0;34.0;50.0;25.0;5.0;Aktiv;
